external_id,title,thumbnail_url,authors,update_days,provider,source_url
naver_796618,1331,https://image-comic.pstatic.net/webtoon/796618/thumbnail/thumbnail_IMAG21_82cd76ac-f250-40b9-b143-7a1cd467efa1.jpg,"보라기린,릴매",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=796618
naver_818909,"개같은 아빠",https://image-comic.pstatic.net/webtoon/818909/thumbnail/thumbnail_IMAG21_18d98150-a811-4992-b1e8-dcf6f76cfe49.jpg,"미티,개초",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=818909
naver_809261,"거짓말의 뉘앙스",https://image-comic.pstatic.net/webtoon/809261/thumbnail/thumbnail_IMAG21_7fe7ff91-1fae-4989-8bbc-549c83d797cf.jpg,"사즈",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=809261
naver_821597,"괴력 난신",https://image-comic.pstatic.net/webtoon/821597/thumbnail/thumbnail_IMAG21_d39e65d8-6ffd-4024-be77-dbeb87db820c.jpg,"매드버드,김태형,한중월야",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=821597
naver_814885,"그 남학생에게 고백하지 마십시오",https://image-comic.pstatic.net/webtoon/814885/thumbnail/thumbnail_IMAG21_d51ba02b-f270-46f5-9a92-fc5257f4665a.jpg,"도희권",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=814885
naver_804333,"그냥 선생님",https://image-comic.pstatic.net/webtoon/804333/thumbnail/thumbnail_IMAG21_5b5075fd-91c1-46f2-a8f7-054dfca4854b.jpg,"연일",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=804333
naver_783053,"김부장",https://image-comic.pstatic.net/webtoon/783053/thumbnail/thumbnail_IMAG21_d7732f14-26da-4e35-8762-660cc87b53f1.jpg,"박만사, 남자의 이야기,정종택",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=783053
naver_823434,"나만 보는 탑 공략집",https://image-comic.pstatic.net/webtoon/823434/thumbnail/thumbnail_IMAG21_2410f633-6b9f-415f-bba1-5e27495685cb.jpg,"사도,X-NAME,쾌조",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=823434
naver_817366,"내 남편의 정부에게",https://image-comic.pstatic.net/webtoon/817366/thumbnail/thumbnail_IMAG21_391b1003-b49f-413a-bfea-f7af77440deb.jpg,"나사못,댄싱브레인,라치크",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=817366
naver_784248,"내가 키운 S급들",https://image-comic.pstatic.net/webtoon/784248/thumbnail/thumbnail_IMAG21_20a8aca7-23d3-4bc0-9916-a31ebc884ca8.jpg,"seri,비완,근서",TUE,NAVER,https://comic.naver.com/webtoon/list?titleId=784248
